ID,Fecha,Hora,Latitud,Longitud,Profundidad,Magnitud,Detalle,,Localidad,Mapa,Is_blank,Día Semana,Profundidad Number
66,06/08/2020,9:50:06,-33.632,-67.845,213 Km.,3.3,,,MENDOZA,mapa,TRUE,4,213
67,06/08/2020,8:20:39,-32.631,-69.227,117 Km.,2.6,,,MENDOZA,mapa,TRUE,4,117
68,05/08/2020,18:50:24,-32.320,-68.629,123 Km.,2.5,,,MENDOZA,mapa,TRUE,3,123
69,05/08/2020,5:03:57,-33.101,-69.015,9 Km.,3.0,"II a III -Agrelo, Mendoza; II a III -Ciudad de Mendoza; II a III -San Martín, Mendoza",,MENDOZA,mapa,FALSE,3,9 
70,04/08/2020,0:31:41,-32.885,-69.199,26 Km.,2.5,,,MENDOZA,mapa,TRUE,2,26 
71,02/08/2020,14:24:30,-32.166,-68.383,119 Km.,2.7,,,MENDOZA,mapa,TRUE,7,119
72,02/08/2020,13:55:46,-33.150,-68.102,19 Km.,2.5,,,MENDOZA,mapa,TRUE,7,19 
73,02/08/2020,13:06:48,-32.872,-68.893,118 Km.,2.9,,,MENDOZA,mapa,TRUE,7,118
74,02/08/2020,9:22:43,-32.394,-69.601,124 Km.,2.5,,,MENDOZA,mapa,TRUE,7,124
75,01/08/2020,18:40:51,-33.311,-69.140,15 Km.,2.6,,,MENDOZA,mapa,TRUE,6,15 
76,01/08/2020,9:34:24,-32.780,-68.402,15 Km.,2.5,"II a III -Costa de Araujo, Mendoza",,MENDOZA,mapa,FALSE,6,15 
77,31/07/2020,3:21:13,-32.826,-69.547,122 Km.,3.0,,,MENDOZA,mapa,TRUE,5,122
78,30/07/2020,3:59:09,-33.055,-70.071,38 Km.,3.2,,,MENDOZA,mapa,TRUE,4,38 
79,26/07/2020,20:55:46,-34.261,-68.621,10 Km.,2.5,,,MENDOZA,mapa,TRUE,7,10 
80,26/07/2020,12:02:45,-33.010,-69.182,24 Km.,2.5,,,MENDOZA,mapa,TRUE,7,24 
81,24/07/2020,13:28:19,-32.966,-69.359,23 Km.,2.5,,,MENDOZA,mapa,TRUE,5,23 
82,23/07/2020,3:11:34,-33.060,-70.053,21 Km.,2.5,,,MENDOZA,mapa,TRUE,4,21 
83,21/07/2020,10:16:57,-32.166,-69.537,106 Km.,2.8,,,MENDOZA,mapa,TRUE,2,106
84,21/07/2020,3:34:53,-33.080,-68.356,170 Km.,3.8,,,MENDOZA,mapa,TRUE,2,170
85,19/07/2020,14:11:17,-32.682,-68.805,25 Km.,2.5,,,MENDOZA,mapa,TRUE,7,25 
86,19/07/2020,7:20:39,-32.856,-68.303,13 Km.,2.6,,,MENDOZA,mapa,TRUE,7,13 
87,19/07/2020,7:09:53,-33.191,-68.324,25 Km.,4.1,"III a IV -San Martín, Mendoza; III -Ciudad de Mendoza",,MENDOZA,mapa,FALSE,7,25 
88,18/07/2020,17:13:57,-34.116,-68.695,12 Km.,2.8,,,MENDOZA,mapa,TRUE,6,12 
89,18/07/2020,9:40:11,-33.128,-68.739,11 Km.,2.5,,,MENDOZA,mapa,TRUE,6,11 
90,17/07/2020,0:54:37,-33.591,-68.861,14 Km.,2.7,,,MENDOZA,mapa,TRUE,5,14 
91,16/07/2020,22:04:13,-32.466,-69.519,122 Km.,2.8,,,MENDOZA,mapa,TRUE,4,122
92,16/07/2020,18:52:21,-32.306,-67.904,123 Km.,2.7,,,MENDOZA,mapa,TRUE,4,123
93,16/07/2020,15:57:27,-32.860,-67.821,8 Km.,3.9,"III -San Martín, Mendoza; II a III -Ciudad de Mendoza",,MENDOZA,mapa,FALSE,4,8 
94,16/07/2020,4:56:19,-33.116,-69.506,8 Km.,2.6,,,MENDOZA,mapa,TRUE,4,8 
95,15/07/2020,17:14:45,-33.396,-68.617,11 Km.,2.6,,,MENDOZA,mapa,TRUE,3,11 
96,14/07/2020,15:25:38,-35.351,-70.244,174 Km.,3.0,,,MENDOZA,mapa,TRUE,2,174
97,14/07/2020,3:44:47,-33.703,-68.802,8 Km.,3.6,"III -Tunuyan Mendoza,; II a III -Rivadavia, Mendoza; II a III -Ciudad de Mendoza; II a III -San Martín, Mendoza",,MENDOZA,mapa,FALSE,2,8 
98,09/07/2020,18:10:05,-32.222,-69.361,116 Km.,2.8,,,MENDOZA,mapa,TRUE,4,116
99,09/07/2020,15:05:44,-32.216,-69.214,107 Km.,2.7,,,MENDOZA,mapa,TRUE,4,107
100,08/07/2020,18:00:57,-32.140,-69.433,112 Km.,2.9,,,MENDOZA,mapa,TRUE,3,112
101,08/07/2020,10:24:21,-33.560,-68.871,11 Km.,3.2,"III -Tunuyán, Mendoza; II a III -Ciudad de Mendoza",,MENDOZA,mapa,FALSE,3,11 
102,07/07/2020,22:12:29,-32.996,-69.119,21 Km.,2.7,II a III -Ciudad de Mendoza,,MENDOZA,mapa,FALSE,2,21 
103,07/07/2020,13:17:57,-35.343,-70.099,142 Km.,2.9,,,MENDOZA,mapa,TRUE,2,142
104,06/07/2020,5:28:25,-32.813,-67.929,17 Km.,2.6,,,MENDOZA,mapa,TRUE,1,17 
105,06/07/2020,0:27:32,-32.711,-68.794,141 Km.,3.3,,,MENDOZA,mapa,TRUE,1,141
106,05/07/2020,23:52:26,-32.347,-69.445,134 Km.,3.3,,,MENDOZA,mapa,TRUE,7,134
107,05/07/2020,23:43:41,-32.733,-68.896,140 Km.,3.0,,,MENDOZA,mapa,TRUE,7,140
108,04/07/2020,19:15:20,-33.039,-70.025,112 Km.,2.9,,,MENDOZA,mapa,TRUE,6,112
109,04/07/2020,10:30:13,-33.217,-68.030,40 Km.,2.6,,,MENDOZA,mapa,TRUE,6,40 
110,03/07/2020,18:24:17,-32.822,-69.782,93 Km.,2.5,,,MENDOZA,mapa,TRUE,5,93 
111,03/07/2020,6:05:17,-32.838,-68.382,140 Km.,2.5,,,MENDOZA,mapa,TRUE,5,140
112,01/07/2020,10:35:00,-33.097,-67.320,20 Km.,2.6,,,MENDOZA,mapa,TRUE,3,20 
113,01/07/2020,3:57:55,-32.939,-67.866,164 Km.,3.2,,,MENDOZA,mapa,TRUE,3,164
114,30/06/2020,18:44:54,-34.040,-68.620,21 Km.,2.8,,,MENDOZA,mapa,TRUE,2,21 
115,30/06/2020,3:22:01,-33.615,-67.821,223 Km.,2.6,,,MENDOZA,mapa,TRUE,2,223
116,27/06/2020,20:16:11,-33.579,-68.591,30 Km.,2.5,,,MENDOZA,mapa,TRUE,6,30 
117,27/06/2020,14:39:30,-32.992,-68.242,24 Km.,2.7,,,MENDOZA,mapa,TRUE,6,24 
118,27/06/2020,11:12:07,-32.780,-68.699,20 Km.,3.4,III -Ciudad de Mendoza,,MENDOZA,mapa,FALSE,6,20 
119,26/06/2020,17:36:43,-32.885,-69.093,134 Km.,2.6,,,MENDOZA,mapa,TRUE,5,134
120,26/06/2020,6:34:20,-34.235,-68.984,10 Km.,2.7,,,MENDOZA,mapa,TRUE,5,10 
121,25/06/2020,14:48:46,-32.577,-69.423,106 Km.,2.5,,,MENDOZA,mapa,TRUE,4,106
122,25/06/2020,5:07:42,-33.093,-68.971,10 Km.,2.5,,,MENDOZA,mapa,TRUE,4,10 
123,24/06/2020,22:15:21,-36.098,-70.304,170 Km.,3.3,,,MENDOZA,mapa,TRUE,3,170
124,23/06/2020,19:50:22,-32.864,-68.999,12 Km.,2.8,II a III -Ciudad de Mendoza,,MENDOZA,mapa,FALSE,2,12 
125,23/06/2020,19:47:12,-33.128,-69.365,5 Km.,2.5,,,MENDOZA,mapa,TRUE,2,5 
126,22/06/2020,23:16:48,-32.173,-68.397,127 Km.,3.6,II a III -Ciudad de Mendoza; II a III -Ciudad de San Juan,,MENDOZA,mapa,FALSE,1,127
127,22/06/2020,21:55:40,-33.030,-69.576,134 Km.,2.7,,,MENDOZA,mapa,TRUE,1,134
128,22/06/2020,9:24:07,-32.110,-69.438,128 Km.,3.4,,,MENDOZA,mapa,TRUE,1,128
129,21/06/2020,0:27:23,-35.688,-70.086,196 Km.,3.3,,,MENDOZA,mapa,TRUE,7,196
130,20/06/2020,23:51:52,-33.367,-68.734,8 Km.,2.9,,,MENDOZA,mapa,TRUE,6,8 
131,20/06/2020,15:36:48,-32.794,-69.766,121 Km.,2.9,,,MENDOZA,mapa,TRUE,6,121
132,17/06/2020,8:45:33,-33.110,-68.922,21 Km.,2.6,,,MENDOZA,mapa,TRUE,3,21 
133,14/06/2020,9:01:44,-33.189,-68.966,8 Km.,2.6,"II a III -Agrelo, Mendoza",,MENDOZA,mapa,FALSE,7,8 
134,13/06/2020,14:04:03,-32.672,-68.806,10 Km.,2.7,,,MENDOZA,mapa,TRUE,6,10 
135,13/06/2020,12:21:41,-32.975,-69.353,11 Km.,2.9,,,MENDOZA,mapa,TRUE,6,11 
136,12/06/2020,21:54:20,-34.856,-69.005,33 Km.,3.4,,,MENDOZA,mapa,TRUE,5,33 
137,10/06/2020,12:38:46,-32.954,-68.290,30 Km.,2.5,,,MENDOZA,mapa,TRUE,3,30 
138,09/06/2020,18:08:29,-32.445,-69.682,115 Km.,2.6,,,MENDOZA,mapa,TRUE,2,115
139,09/06/2020,16:50:17,-32.668,-68.915,34 Km.,2.5,,,MENDOZA,mapa,TRUE,2,34 
140,09/06/2020,2:55:07,-32.946,-69.984,112 Km.,3.3,,,MENDOZA,mapa,TRUE,2,112
141,08/06/2020,21:46:49,-33.508,-67.933,177 Km.,2.8,,,MENDOZA,mapa,TRUE,1,177
142,08/06/2020,15:59:49,-32.280,-69.427,125 Km.,2.7,,,MENDOZA,mapa,TRUE,1,125
143,07/06/2020,23:57:07,-32.645,-68.835,133 Km.,3.3,,,MENDOZA,mapa,TRUE,7,133
144,07/06/2020,5:59:01,-32.753,-69.895,124 Km.,2.6,,,MENDOZA,mapa,TRUE,7,124
145,07/06/2020,3:24:29,-32.271,-69.344,121 Km.,2.7,,,MENDOZA,mapa,TRUE,7,121
146,05/06/2020,7:08:55,-32.660,-67.756,8 Km.,2.8,,,MENDOZA,mapa,TRUE,5,8 
147,05/06/2020,5:33:51,-32.322,-69.257,6 Km.,2.5,,,MENDOZA,mapa,TRUE,5,6 
148,05/06/2020,2:03:36,-32.757,-67.200,8 Km.,2.8,,,MENDOZA,mapa,TRUE,5,8 
149,04/06/2020,12:13:55,-32.846,-69.207,8 Km.,2.8,"II a III -Uspallata, Mendoza; II a III -Ciudad de Mendoza",,MENDOZA,mapa,FALSE,4,8 
150,03/06/2020,23:08:54,-33.446,-67.802,202 Km.,3.1,,,MENDOZA,mapa,TRUE,3,202
151,02/06/2020,5:21:12,-33.190,-69.040,146 Km.,2.6,,,MENDOZA,mapa,TRUE,2,146
152,01/06/2020,19:04:40,-35.018,-69.523,193 Km.,3.6,,,MENDOZA,mapa,TRUE,1,193
153,01/06/2020,17:13:09,-32.991,-68.214,9 Km.,2.5,,,MENDOZA,mapa,TRUE,1,9 
154,30/05/2020,13:23:18,-32.832,-68.130,22 Km.,2.8,,,MENDOZA,mapa,TRUE,6,22 
155,30/05/2020,5:46:33,-34.209,-68.730,15 Km.,2.5,,,MENDOZA,mapa,TRUE,6,15 
156,29/05/2020,21:40:22,-33.228,-68.955,33 Km.,2.9,,,MENDOZA,mapa,TRUE,5,33 
157,29/05/2020,0:55:14,-33.216,-68.347,31 Km.,2.6,,,MENDOZA,mapa,TRUE,5,31 
158,28/05/2020,23:12:09,-33.447,-69.019,20 Km.,2.6,,,MENDOZA,mapa,TRUE,4,20 
159,28/05/2020,16:11:02,-34.834,-69.519,189 Km.,3.1,,,MENDOZA,mapa,TRUE,4,189
160,28/05/2020,11:16:54,-32.428,-69.649,128 Km.,2.7,,,MENDOZA,mapa,TRUE,4,128
161,25/05/2020,19:58:32,-32.250,-68.524,126 Km.,2.7,,,MENDOZA,mapa,TRUE,1,126
162,24/05/2020,20:56:19,-32.885,-67.531,172 Km.,3.0,,,MENDOZA,mapa,TRUE,7,172
163,22/05/2020,1:28:57,-34.122,-69.102,13 Km.,3.5,"II a III -San Rafael, Mendoza",,MENDOZA,mapa,FALSE,5,13 
164,21/05/2020,13:56:59,-32.801,-69.488,126 Km.,3.0,,,MENDOZA,mapa,TRUE,4,126
165,21/05/2020,10:09:12,-31.970,-69.135,114 Km.,3.1,,,MENDOZA,mapa,TRUE,4,114
166,21/05/2020,9:48:56,-32.429,-68.905,33 Km.,2.9,,,MENDOZA,mapa,TRUE,4,33 
167,19/05/2020,14:22:32,-32.598,-68.987,13 Km.,3.1,II a III -Ciudad de Mendoza,,MENDOZA,mapa,FALSE,2,13 
168,18/05/2020,21:45:02,-32.805,-70.095,102 Km.,2.7,,,MENDOZA,mapa,TRUE,1,102
169,16/05/2020,2:23:54,-32.205,-69.327,120 Km.,2.6,,,MENDOZA,mapa,TRUE,6,120
170,15/05/2020,16:51:16,-32.688,-68.054,30 Km.,2.6,,,MENDOZA,mapa,TRUE,5,30 
171,14/05/2020,13:31:58,-32.335,-69.554,121 Km.,3.0,,,MENDOZA,mapa,TRUE,4,121
172,14/05/2020,9:14:26,-32.745,-69.998,122 Km.,2.7,,,MENDOZA,mapa,TRUE,4,122
173,14/05/2020,7:36:17,-33.975,-68.614,11 Km.,3.0,,,MENDOZA,mapa,TRUE,4,11 
174,13/05/2020,0:56:52,-33.252,-69.036,26 Km.,2.5,,,MENDOZA,mapa,TRUE,3,26 
175,13/05/2020,0:45:10,-33.177,-68.059,23 Km.,2.7,,,MENDOZA,mapa,TRUE,3,23 
176,12/05/2020,2:48:20,-32.153,-68.300,0 Km.,2.5,,,MENDOZA,mapa,TRUE,2,0 
177,11/05/2020,10:22:40,-32.965,-68.192,19 Km.,2.5,,,MENDOZA,mapa,TRUE,1,19 
178,11/05/2020,8:12:07,-32.615,-68.758,136 Km.,3.4,,,MENDOZA,mapa,TRUE,1,136
179,11/05/2020,0:26:53,-32.794,-68.642,10 Km.,2.7,II a III -Ciudad de Mendoza,,MENDOZA,mapa,FALSE,1,10 
180,10/05/2020,21:42:38,-33.197,-67.548,184 Km.,2.9,,,MENDOZA,mapa,TRUE,7,184
181,10/05/2020,7:47:54,-32.886,-67.602,14 Km.,2.8,,,MENDOZA,mapa,TRUE,7,14 
182,09/05/2020,21:50:01,-33.509,-69.013,161 Km.,2.5,,,MENDOZA,mapa,TRUE,6,161
183,09/05/2020,5:22:50,-33.738,-68.765,13 Km.,2.5,,,MENDOZA,mapa,TRUE,6,13 
184,08/05/2020,7:22:23,-32.593,-69.869,129 Km.,2.9,,,MENDOZA,mapa,TRUE,5,129
185,06/05/2020,19:35:13,-32.269,-67.958,126 Km.,2.9,,,MENDOZA,mapa,TRUE,3,126
186,05/05/2020,2:58:19,-32.888,-69.936,117 Km.,2.6,,,MENDOZA,mapa,TRUE,2,117
187,04/05/2020,12:58:27,-32.366,-68.628,112 Km.,3.5,II a III -Ciudad de Mendoza,,MENDOZA,mapa,FALSE,1,112
188,04/05/2020,0:54:14,-33.919,-68.763,7 Km.,2.6,,,MENDOZA,mapa,TRUE,1,7 
189,03/05/2020,14:51:10,-32.862,-69.182,20 Km.,2.5,,,MENDOZA,mapa,TRUE,7,20 
190,02/05/2020,4:00:51,-32.408,-68.676,131 Km.,3.4,,,MENDOZA,mapa,TRUE,6,131
191,01/05/2020,5:54:39,-33.198,-69.044,139 Km.,2.5,,,MENDOZA,mapa,TRUE,5,139
192,01/05/2020,1:57:00,-32.766,-68.749,13 Km.,3.5,III a IV -Ciudad de Mendoza; II a III -Ciudad de San Juan,,MENDOZA,mapa,FALSE,5,13 
193,30/04/2020,11:21:23,-33.196,-68.358,29 Km.,2.8,,,MENDOZA,mapa,TRUE,4,29 
194,27/04/2020,23:30:47,-32.376,-69.687,111 Km.,2.5,,,MENDOZA,mapa,TRUE,1,111
195,27/04/2020,10:03:21,-36.099,-70.217,180 Km.,2.8,,,MENDOZA,mapa,TRUE,1,180
196,25/04/2020,17:40:05,-32.711,-69.876,22 Km.,2.7,,,MENDOZA,mapa,TRUE,6,22 
197,24/04/2020,7:59:05,-32.148,-69.461,110 Km.,2.7,,,MENDOZA,mapa,TRUE,5,110
198,23/04/2020,23:12:03,-32.925,-69.125,7 Km.,2.6,,,MENDOZA,mapa,TRUE,4,7 
199,23/04/2020,11:31:46,-33.010,-68.320,33 Km.,2.7,,,MENDOZA,mapa,TRUE,4,33 
200,22/04/2020,17:15:28,-32.402,-67.619,134 Km.,2.6,,,MENDOZA,mapa,TRUE,3,134
201,22/04/2020,5:21:09,-32.146,-69.326,129 Km.,4.0,III -Ciudad de Mendoza; II a III -Ciudad de San Juan,,MENDOZA,mapa,FALSE,3,129
202,21/04/2020,19:47:34,-32.936,-68.624,19 Km.,2.7,II a III -Ciudad de Mendoza,,MENDOZA,mapa,FALSE,2,19 
203,21/04/2020,16:47:40,-32.812,-69.912,130 Km.,2.9,,,MENDOZA,mapa,TRUE,2,130
204,20/04/2020,23:58:24,-32.798,-68.680,20 Km.,3.8,"III a IV -Ciudad de Mendoza; III -San Martín, Mendoza",,MENDOZA,mapa,FALSE,1,20 
205,20/04/2020,21:58:04,-33.019,-69.204,126 Km.,2.5,,,MENDOZA,mapa,TRUE,1,126
206,16/04/2020,14:16:17,-34.163,-66.807,40 Km.,3.3,,,MENDOZA,mapa,TRUE,4,40 
207,16/04/2020,10:23:11,-33.242,-68.010,15 Km.,2.6,,,MENDOZA,mapa,TRUE,4,15 
208,15/04/2020,21:52:55,-32.304,-68.538,117 Km.,2.7,,,MENDOZA,mapa,TRUE,3,117
209,15/04/2020,11:44:06,-32.802,-68.647,27 Km.,2.9,,,MENDOZA,mapa,TRUE,3,27 
210,15/04/2020,7:15:20,-32.775,-68.440,15 Km.,2.6,,,MENDOZA,mapa,TRUE,3,15 
211,14/04/2020,14:23:35,-32.247,-67.548,12 Km.,2.5,,,MENDOZA,mapa,TRUE,2,12 
212,13/04/2020,18:29:27,-33.335,-69.045,19 Km.,2.7,"II a III -Luján de Cuyo, Mendoza",,MENDOZA,mapa,FALSE,1,19 
213,12/04/2020,22:25:20,-33.014,-68.219,9 Km.,2.9,,,MENDOZA,mapa,TRUE,7,9 
214,12/04/2020,21:40:47,-32.228,-69.535,120 Km.,2.7,,,MENDOZA,mapa,TRUE,7,120
215,11/04/2020,18:02:05,-32.949,-67.561,178 Km.,2.7,,,MENDOZA,mapa,TRUE,6,178
216,11/04/2020,14:35:58,-34.706,-70.092,165 Km.,3.4,,,MENDOZA,mapa,TRUE,6,165
217,11/04/2020,2:38:36,-33.023,-69.176,19 Km.,2.9,,,MENDOZA,mapa,TRUE,6,19 
218,10/04/2020,21:24:19,-32.755,-69.096,24 Km.,3.2,II a III -Ciudad de Mendoza,,MENDOZA,mapa,FALSE,5,24 
219,09/04/2020,20:48:55,-32.843,-69.975,129 Km.,2.8,,,MENDOZA,mapa,TRUE,4,129
220,09/04/2020,10:09:07,-33.380,-68.259,39 Km.,2.5,,,MENDOZA,mapa,TRUE,4,39 
221,09/04/2020,6:52:18,-33.063,-67.737,235 Km.,2.6,,,MENDOZA,mapa,TRUE,4,235
222,06/04/2020,7:31:47,-33.071,-68.291,37 Km.,2.9,,,MENDOZA,mapa,TRUE,1,37 
223,05/04/2020,16:55:22,-33.264,-68.995,31 Km.,2.6,,,MENDOZA,mapa,TRUE,7,31 
